,ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms
0,f9dcbd09-32ac-41d9-a0b1-fdb2793378cf,Treehouses,Red Kite Tree Tent - Ynys Affalon, Escape to one of these two fabulous Tree Tents. Suspended high above the canopy it’s time to appreciate life from a new perspective. Featured on George Clarke’s Amazing Spaces these Tree Tents are a feat of aviation technology. Tree Tent comes complete with fire pit outdoor kitchen and shower with hot water. You’ll discover a comfortable bed and cosy wood burning stove. Part of the Red Kite Estate along with our barn and its sister tree tent the first ever built in the UK Dragons Egg. The space The space\nThe true joy of this place is how wonderfully simple it is (aviation technology aside). Days are filled with fireside discussions wildlife watching and stunningly beautiful walks. With the nearest mobile signal a ten minute walk away it’s a great place to ditch the digital and truly escape. Head over the bridge to your own private deck that happily houses a clever outdoor-kitchen and shower (complete with hot water). It’s the perfect spot to fry up breakfast whilst basking in peace and tranquility. There is also a flushing toilet situated just up the hill.And don’t worry you’re not totally left to your own devices on arrival you can expect bed linen towels and a load of dry wood and kindling. If you feel the need to leave your new found homestead in the trees then the local area has lots of suitably chilled things to do. Head out on a moorland walk to take in some magical views - and perhaps even grab a pint at the local pub en route. Further afield the stunning Elan Valley a landscape bursting with impressive dams and reservoirs is well worthy of an explore. And for those needing supplies - and perhaps a flat white - then the friendly market town of Builth Wells is just down the road.Other things to note\nYou are entering a remote woodland hideaway for a digital detox: there is very patchy mobile signal and limited internet connectivity.,"['What this place offers', 'Bathroom', 'Shampoo', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer']",Llandrindod Wells United Kingdom,2.0,1.0,1.0,105,4.6,4.7,4.3,5.0,4.3,4.3,13,https://www.airbnb.co.uk/rooms/26620994?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-19&check_out=2022-03-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
1,1b4736a7-e73e-45bc-a9b5-d3e7fcf652fd,Treehouses,Az Alom Cabin - Treehouse Tree to Nature Cabin, Come and spend a romantic stay with a couple or family on the Domaine de l Arbre in Cabane\n\nA very pretty forest of 5 hectares shelters 8 beautiful huts they all have the dream names unique and unprecedented.\n\nThey are housed in centuries-old trees out of sight in osmosis with nature.\n\nThe site is preserved your peace is assured. Nature is everywhere\n\nA treehouse to indulge relax and go where no one will be looking for you! The space The space\nCabin perched in trees 8 meters high.\nThis cabin is beautiful. Its access via a board walkway and its platform adjoining 3 individual beds seduce them to the highest degree. It has a capacity of 3 people. Guest access Guest access\nYou will have access to the entire cabin forest and park.\nSanitary facilities (showers and toilets) are at the reception a 3-minute walk. Other things to note Other things to note\nAre you ready for an unusual stay?,"['What this place offers', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Guyonvelle Grand Est France,3.0,3.0,0.0,92,4.3,4.7,4.6,4.9,4.7,4.5,8,https://www.airbnb.co.uk/rooms/27055498?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-19&check_out=2022-06-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
2,d577bc30-2222-4bef-a35e-a9825642aec4,Treehouses,"Cabane Entre Les Pins
🌲🏕️🌲", Rustic cabin between the pines 3 meters high and 28 square meters on the banks of the Austreberth River 🌲🏕️🌲 The space The space\nOur cabin between the pines is a great alternative for those looking for contact with nature and want to rest enjoy together or have fun with family or friends. With 3 meters high and 28 square meters it accommodates 4 people. Located on a 1.2 hectare property by the river Austreberthe our rustic treehouse shares the space with our garden rabbits and dumplings as well as wild dumplings and our beloved khenty mare who loves apples and carrots. A tranquil retreat with efficient thermal insulation and heaters for the colder days. Equipped with a double bed sofa bed kitchenduvet and toilet.\n\n\nWe provide:\nTowels\nBed linens and pillows\nKitchen detergent and bathroom soap\nPaper towels & toilet paper\nCooking utensils\nCoffee tea salt and pepper herbs of provence\nWhat to do in the areas guide\n\nIll follow us on Instagram @entreespins Guest access Guest access\nGuests can use the space around the cabin. Other things to note Other things to note\n*When its windy the cabin squeaks but theres nothing to worry about.\n\n*Do not use candles or objects containing a fire inside and outside the cabin as the polyester is flammable.\n\n*Smoking outside only please.\n\n*Our dear pets are allowed but with the commitment of their guardian not to leave them on the bed and furnishing fabrics as well as being responsible for their waste.\n\n*Pine needles often fall on the balcony which doesnt mean the space hasnt been cleaned.\n\n*As this is literally a house between the trees it is common that there are insects and cobwebs outside but with the door closed it will prevent them from entering the cabin.\n\n*With the arrival of the cold season we see that the internal temperature is between 15 and 18 degrees.\n\n*Check-out time must be respected so as not to change the arrival time of the next guest.,"['What this place offers', 'Scenic views', 'Garden view', 'River view', 'Bathroom', 'Cleaning products', 'Cien body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe and chest of drawers', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Children’s tableware', 'Table corner guards', 'Heating and cooling', 'Portable heater', 'Radiant heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Dishwasher', 'Stainless steel cooker', 'Kettle', 'Coffee maker: filter coffee maker', 'Wine glasses', 'Baking sheet', 'Rice cooker', 'Waste compactor', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Free resort access', 'Guests can use nearby resort facilities', 'Outdoor', 'Private patio or balcony', 'Private backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill: electric', 'Kayak', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Smoking allowed', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Duclair Normandie France,4.0,2.0,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51,https://www.airbnb.co.uk/rooms/51427108?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-03&check_out=2022-10-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
3,ca9cbfd4-7798-4e8d-8c17-d5a64fba0abc,Treehouses,Tree Top Cabin with log burner & private hot tub, The Tree top cabin is situated in our peaceful woodland in the heart of Snowdonia. It has a shower (hot water included)and w.c and washbasin (no hot water in the washbasin).\nLighting is provided from a 12v solar panel system.\nA log burner is provided with free wood.\nThere is a double bed.\nThe private wood fired hot tub is situated on a balcony overlooking the woodland area.\nPet friendly.\nOutside seating is provided. The space The space\nThis unique glamping experience has everything you need for a restful and idyllic break from everyday life. Wake up to bird song and the sound of the stream. Enjoy your own exclusive hot tub whilst sipping a glass of bubbly. Our Cabin is fully insulated and has everything you need for that perfect rustic getaway without compromising on quality and convenience.\n\nALL bedding and towels are included in your stay. You may like to bring extra towels for hot tub usage.\n\nA small log burner inside to keep you nice and cosy.\n\nThere is limited telephone signal.,"['What this place offers', 'Bathroom', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Barmouth Wales United Kingdom,2.0,1.0,1.0,132,4.8,4.9,4.9,4.9,5.0,4.6,23,https://www.airbnb.co.uk/rooms/49543851?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-20&check_out=2022-05-27&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
5,cfe479b9-c8f8-44af-9bc6-46ede9f14bb5,Treehouses,Treehouse near Paris Disney, Above all this is a breathtaking setting that we invite you to discover during your stay at Les Hébergements de Quénecan. We invite you to escape to this natural and unique horizon in the heart of nature.\n\nIn the heart of the immense forest of Quénécan near the water points or overlooking the former iron and steel village of Les Forges enjoy the peace and quiet to take a moment to recharge your batteries away from everyday life. The space The space\nLocated at a height of 10 meters in an oak of nearly 200 years the Cabane des Girolles takes its name from the good girolles harvests that are made regularly for the happiness of all.\n\nIt is equipped with:\n\nA bed in 90\nA bed in 140 above\nA toilet corner with water reserve dry toilet wipes.\nA spacious sunny terrace overlooking the listed village of Les Forges des Salles. Ideal terrace for breakfast or summer evenings.\nExtra heating when the need arises.\nYou can have sanitary showers toilets arranged for you at the reception to enjoy several days of our site.\nIt is ideal for a couple and a child.\n\nIt is accessed by a long fully secured footbridge that will delight young and old alike.\n\n- We remind you that each of our accommodations has a small toilet area as well as a dry toilet - and a sun terrace. Breakfast is included - the evening meal can be delivered by reservation -,"['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Entertainment', 'TV', 'Family', 'Travel cot', 'Children’s books and toys', 'High chair', 'Fireplace guards', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Pocket wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Coffee maker', 'Baking sheet', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Breakfast', 'Breakfast is provided', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Le Plessis-Feu-Aussoux Île-de-France France,4.0,3.0,1.0,143,5.0,4.9,5.0,4.7,5.0,4.7,32,https://www.airbnb.co.uk/rooms/935398?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-27&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2.0
6,93b1bfb4-67e7-4d70-9d84-b5e24f820d8c,Treehouses,Lake huts - treehouses, The Les Faines cabin perched in a 150-year-old beech tree will make you live an unusual nature experience in Normandy year-round.\nWe are located 12 km from Dieppe (Seine-Maritime) 2 h from Paris and 3 h from Brussels. The space The space\nNestled in a 150-year-old beech tree 8 m high this hut is oriented northwest : sunset ensured on the terrace (10 m²) between the branches overlooking the horse meadow and you can watch for the passage of animals among others deer who like to sleep nearby.\nThis hut (10 m²) built with total respect for the tree and its environment accommodates 2 people (adult or 12 years minimum accompanied by an adult).\n\nAccess is via a beautiful spiral staircase then via a 15 m long walkway.\n\nIt is undoubtedly the easiest access deckhouse combining height and ease.\n\nThis hut also gives you exclusive access to another large terrace common to the 3 bridge huts perched 20 m from a 190-year-old beech tree: it is the tallest terrace in France accessible by a magnificent crinoline ladder fully secured ! Change of scenery and relaxation guaranteed !\n\nWithout running water or electricity but rustic comfort for a unique adventure in the wild. Water supply (4 l) dry toilet and heating. Bathroom at the reception.Other things to note,"['What this place offers', 'Bathroom', 'Hair dryer', 'Heating and cooling', 'Portable heater', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Giffaumont-Champaubert France,3.0,2.0,1.0,101,4.7,4.7,4.8,4.8,4.7,4.3,6,https://www.airbnb.co.uk/rooms/24408892?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-02&check_out=2022-04-09&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
7,9033002f-5ff2-45df-af91-ef1594ac353f,Treehouses,luxourious Treehouse/lodge, Above all this is a breathtaking setting that we invite you to discover during your stay at Les Hébergements de Quénecan. We invite you to escape to this natural and unique horizon in the heart of nature.\n\nIn the heart of the immense forest of Quénécan near the water points or overlooking the former iron and steel village of Les Forges enjoy the peace and quiet to take a moment to recharge your batteries away from everyday life. The space The space\nIn a 145-year-old sessile oak tree the Cabane de la Clairière sits 10 meters high.\nClose to the Pond du Fourneau on the banks of Morbihan this hut stands out for its very original access: a colimasson staircase that our artists built around an oak barrel a first circular landing and a long footbridge that leads you through the foliage.\nThe hut with a capacity of 4 people or even 5 (possibility to add a driver) is large and exposed west to make the most of the lighting of the pond that reverberates.\nThe arrival at the hut is quite spectacular for the attention of subjects to the vertigo we will propose instead another hut !\n\nIt includes :\n\na sitting area with two 90 beds possibility of extra bed\na toilet area with water reserve toilet bowl dry toilet wipes.\na lovely mezzanine with a double bed in 160.\na large terrace where are installed a table and 4 chairs where it will be nice dinner with family or friends...\nYou can have toilets : showers toilets arranged for you at the reception to enjoy several days of our site.\n\n- We remind you that each of our accommodations has a small toilet area as well as a dry toilet - and a sun terrace. Breakfast is included - the evening meal can be delivered by reservation -,"['What this place offers', 'Bathroom', 'Cleaning products', 'Hot water', 'Bedroom and laundry', 'Dryer', 'Bed linen', 'Clothes storage', 'Entertainment', '32"" HDTV with standard cable/satellite', 'Ping pong table', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Launderette nearby', 'Outdoor', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Bikes', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Cleaning before checkout', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Rijen Noord-Brabant Netherlands,6.0,5.0,1.0,94,4.2,4.4,4.6,4.3,4.8,4.3,31,https://www.airbnb.co.uk/rooms/38786954?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2.0
8,59705407-dc9b-444f-b0b0-afc472ca7c7f,Treehouses,rooftop cabin with private hot tub,nan,"['What this place offers', 'Scenic views', 'Lake view', 'Park view', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Baby safety gates', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Kitchen and dining', 'Coffee maker: espresso machine', 'Location features', 'Waterfront', 'Right next to a body of water', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor kitchen', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private hot tub', 'Services', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Maisse Île-de-France France,4.0,3.0,1.0,247,4.9,4.8,4.8,4.6,4.9,4.4,24,https://www.airbnb.co.uk/rooms/27255597?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
10,36dc1670-02ae-483b-9384-9261cc0f5abe,Treehouses,CABANE DES GIROLLES - IN THE TREES, Discover the ultimate romance in trees 30 feet off the ground! This luxurious treehouse offers the perfect treehouse lodging in Ohio for a romantic escape. Private setting in the woods on a 38-acre property in the heart of Ohio’s Amish Country. Enjoy a king bed and a living room with a sofa and sitting chair. A covered porch will help you enjoy the breathtaking treetop views. Come see why these incredible one-of-a-kind Treehouses were featured on HGTV! Were sure youll have an incredible stay! The space The space\nLiving Room:\nRoughhewn beams and split pine planking surround you as you relax in the comfy sofa and matching chair in front of a live edge coffee table. Flip the switch to ignite the fireplace encased in hand-cut stone and curl up with a good book or take a much-deserved nap. You can also catch up on your favorite shows on the large screen TV with cable channels that are mounted above the mantle. Windows on each wall allow plenty of natural light and outdoor beauty to enter your hideaway.\n\nBut make sure you spend lots of time outside on the wrap-around balcony. Allow the peacefulness of your wooded retreat to soothe your mind and soul as you rock gently in the rockers and absorb the serenity that surrounds you.\n\nKing Bed:\nBefore snuggling into the King size bed featuring an Amish-made pillow-top mattress resting on an elevated pinewood base make sure you unwind in your private two-person jetted tub. The ceiling-high waterfall fill supplies the hot water that will be jetted over tired muscles creating just the right mood for the perfect night.\n\nKitchen:\nYour kitchen is home to a collegiate-sized refrigerator with a freezer and a 2-burner stovetop. There are ample pots and pans if you feel like making your favorite vacation meal or a microwave oven for heating up the leftovers from one of our amazing restaurants in town. A toaster and drip coffee maker round out the appliances which are at your disposal. The Amish-made wood table and chairs are the perfect spots for breakfast for two.\n\nBathroom:\nA sliding barn door opens to reveal your tiled floor bathroom. An artisanal counter rests on legs made from logs and supports an above counter stone basin. The expertly tiled shower is large enough for two and can start your day or end your night on just the right note.,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,3.0,2.0,1.0,104,4.5,4.7,4.8,4.8,4.8,4.4,10,https://www.airbnb.co.uk/rooms/23274113?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-24&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
11,1e304e46-bf16-4ad4-9a94-844346a8c61e,Treehouses,RENARDIÈRE HUT - IN THE TREES, A Truly Unique High Elevation Experience Bolted to a Cliffline in the Gorge The space The space\nIt doesn`t get more extreme or unique than this folks!\nBolted high above the canopy in the Red River Gorge KY Cliff Dweller is now our most extreme and athletic place to spend the night!\n\nAfter a journey up several hundred suspended stairs welcome to your cliff kitchen bathroom and bedroom for four.\n\nThe rocks the views the adventure the solitude. This has it all!,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Parking and facilities', 'Free parking on premises', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Perret Côtes-d'Armor France,5.0,4.0,1.0,106,4.3,4.5,4.4,4.8,4.5,4.1,10,https://www.airbnb.co.uk/rooms/9624155?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-12&check_out=2022-06-19&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1.0
